book,id,chart,day_stem,root_class,queries,judgment,wangshuai_kw
滴天髓,滴天髓-0001,丁亥庚戌甲辰壬申,甲,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|YIN-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIRUO-WUGEN|JISHUAI-CONGSHENG|SHIYONG-YUELING-XIANGFU|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,甲木休囚已极，庚金禄旺克之，一点丁火，难以相对，加之两财生杀，似乎杀重身轻，不知九月甲木进气，壬水贴身相生，不伤丁火。丁火虽弱，通根身库，戌乃燥土，火之本根，辰乃湿土，木之余气。天干一生一制，地支又遇长生，四柱生化有情，五行不争不妒。至丁运科甲连登，用火敌杀明矣。虽久任京官，而宦资丰存，皆一路南方运也。,[]
滴天髓,滴天髓-0002,乙亥庚辰甲戌壬申,甲,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|YIN-PARTY|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,此与前大同小异。以俗论之，“甲以乙妹妻庚，凶为吉兆”，含合忘冲，较之前造更佳，何彼则翰苑，此则寒袷？不知乙庚合而化金，反助其暴。彼则甲辰，辰乃湿土，能生木，此则甲戌，戌燥土不能生木；彼则申辰拱化，此则申戌生杀；彼则甲木进气，而庚金退，此则庚金进气，而甲木退。推此两造，天渊之隔，进退之机，不可不知也。,[]
滴天髓,滴天髓-0003,甲子戊辰庚申壬午,庚,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|YIN-PARTY|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIWANG-HUAIJI|JISHUAI-CONGSHENG|GE-QUALITY|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,此造以俗论之，干透三奇之美，支逢拱贵之荣，且又会局不冲，官星得用，主名利双收。然庚申生于季春，水本休囚，原可用官，嫌其支会水局，则坎增其势，而离失其威，官星必伤，不足为用。欲以强众敌寡而用壬水，更嫌三奇透戊，枭神夺食，亦难作用。甲木之财，本可借用，疏土卫水，泄伤生官，似乎有情，不知甲木退气，戊土当权，难以疏通。纵用甲木，亦是假神，不过庸碌之人。况运走西南甲木休囚之地，虽有祖业，亦一败而尽，且不免刑,[]
滴天髓,滴天髓-0004,丙子己亥乙丑壬午,乙,LIGHT,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|LIGHT-ROOT|YIN-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JISHUAI-CONGSHENG|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,此造初看，一无可取，天干壬丙一克，地支子午遥冲，且寒木喜陽，正遇水势泛滥，火气克绝，似乎名利无成。余细推之，三水二土二火，水势虽旺，喜无金；火本休囚，喜有土卫，谓儿能救母；况天干壬水生乙木，丙火生己土，各立门户，相生有情，必无争克之意。地支虽北方，然喜己土原神透出，通根禄旺，互相兹护，其势足以止水卫火，正谓有病得药。且一陽后万物怀胎，木火进气，以伤官秀气为用。中年运走东南，用神生旺，必是甲第中人。,[]
滴天髓,滴天髓-0005,甲寅壬申癸巳癸亥,癸,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|JISHUAI-CONGSHENG|SHIYONG-YUELING-XIANGFU|GE-QUALITY|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,秋水通源，金当令，水重重，木囚逢冲，不足为用。火虽休而紧贴日支，况秋初余气未息，用神必在巳火。巳亥逢冲，群劫纷争，所以连克三妻，无子。兼之运走北方水地，以致破耗异常；至戊寅己卯，运转东方，喜用合宜，得其温饱；庚运制伤生劫，又逢酉年，喜用两伤，不禄。,[]
滴天髓,滴天髓-0006,癸巳癸亥甲寅壬申,甲,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|YIN-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,壬戌 辛酉 庚申 己未 戊午 丁巳甲寅日元，生于孟冬，寒木必须用火。柱中四逢旺水伤用，无土砥定，似乎不美，妙在寅亥临合，巳火绝处逢生，此即兴发之机。然初运西方金地，有伤体用，碌碌风霜，奔驰未遇；四旬外运转南方火土之地，助起用神，弃印就财，财发数万，娶妾，连生四子。由是观之，印绶作用，逢财为祸不小，不如就财，发福最大。,[]
滴天髓,滴天髓-0007,辛卯丁酉戊子戊午,戊,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|YIN-PARTY|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|JISHUAI-CONGSHENG|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,丙申 乙未 甲午 癸巳 壬辰 辛卯伤官用印，喜神即是官星，非俗论土金伤官忌官星也。卯酉冲，则印绶无生助之神；子午冲，使伤官得以肆逞。地支金旺水生，木火冲克已尽，天干火土虚脱，以致读书未遂，碌碌经营。然喜水不透，为人文采风流，精于书法。更兼中运天干金水，未免有志难伸。凡伤官佩印喜用在木火者，忌见金水也。,[]
滴天髓,滴天髓-0008,辛未辛丑戊辰壬戌,戊,HEAVY,REN-CAIGUAN|DESHI-BUWANG|XIEQI-TAIZHONG|HEAVY-ROOT|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|WANGJI-SIWO-SHENG|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,庚子 己亥 戊戌 丁酉 丙申 乙未此造非支全四库之美，所喜者辛金吐秀，丑中元神透出，泄其精英，更妙木火伏而不见，纯清不混。至酉运，辛金得地，中乡榜；后因运行南方，木火并旺，用神之辛金受伤，由举而进，而不能选。,[]
滴天髓,滴天髓-0009,戊辰壬戌辛未己丑,辛,LIGHT,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|LIGHT-ROOT|YIN-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JISHUAI-CONGSHENG|SHIYONG-YUELING-XIANGFU|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,癸亥 甲子 乙丑 丙寅 丁卯 戊辰此满局印绶，土重金埋，壬水用神伤尽，未辰虽藏乙木，无冲或可借用，以待运来引出，乃被丑戌冲破，藏金暗相砍伐，以至克妻无子。由此论之，四库必要冲者，执一之论也，全在天干调剂得宜，更须用神有力，岁运辅助，庶无偏枯之病也。支神只以冲为重，刑与穿兮动不动,[]
滴天髓,滴天髓-0010,丙子辛卯壬子癸卯,壬,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|CAI-RUO-SHEN-QIANG|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,壬辰 癸巳 甲午 乙未 丙申 丁酉壬子日元，支逢两刃，干透癸辛，五行无土，年干丙火临绝，合辛化水，最喜卯旺提纲，泄其菁英，能化劫刃之顽。秀气流行，为人恭而有礼，和而中节。至甲运，木之元神发露，科甲连登；午运得卯木泄水生火，及乙未丙运，官至郡守，仕途平顺。以俗论之，子卯为无礼之刑，且伤官羊刃逢刑，必至傲慢无礼，凶恶多端矣。,[]
