line,chart,gz,lc,ganwx,zhiwx,ju,v,primary,fav,av,blob,clash
180,辛丑乙未庚辰丁丑,癸巳,fav_l,水,火,,xiong,火,"['木', '火']","['土', '金']",一交癸巳，克丁拱丑，伤劫并旺，刑丧破耗,
190,丁巳癸丑丁卯丙午,庚戌,fav,金,土,,xiong,水,"['土', '水', '金']","['木', '火']",庚戌运暗来拱合午火，刑伤破耗,
228,己酉丁卯庚辰甲申,壬戌,fav,水,土,化神金,xiong,土,"['土', '火', '金']",['木'],一交戌运，支类西方，贫乏不堪,辰戌同阶(平/平): 两停不拔不发
231,庚申壬午辛酉癸巳,丁亥,fav_l,火,水,,xiong,水,"['土', '水']",[],一交亥运，壬水得禄，癸水临旺，火气克尽，家破身亡,"巳(火强)旺冲亥(水平)衰: 亥衰者拔, 巳旺神发"
244,戊子戊午戊戌戊午,壬戌,fav_l,水,土,,xiong,水,"['水', '金']",[],一交壬戌，水不通根，暗拱火局，遭祝融之变，一家五口皆亡,
250,辛卯辛卯辛卯辛卯,丁亥,fav_l,火,水,,xiong,木,"['木', '水']","['土', '金']",一交丁亥，生火克金，即亡其师，所有微业，嫖赌扫尽而死,
270,戊寅乙丑丙寅庚寅,庚午,fav,金,火,,xiong,土,"['土', '火', '金']",['水'],若运走西北土金，财业必胜前造，惜一路东南木火之地，祖业破尽，遍历数省，奔驰不遇，至午运暗会劫局，死于广东,
300,己丑丙子丁亥庚子,辛未,fav_l,金,土,,xiong,水,"['水', '金']","['木', '火']",人皆取其火土帮身，以午未运为美，殊不知比劫夺财，反致大凶,丑未同阶(平/平): 两停不拔不发
326,乙丑己卯乙亥壬午,丙子,av,火,水,化神水,ji,土,"['土', '火']","['木', '水']",一交丙子，冲去午火，一败而尽,"子(水强)旺冲午(火旺)衰: 午衰者拔, 子旺神发"
366,丙午戊戌丙午戊戌,壬寅,fav,水,木,化神火,xiong,土,"['土', '火', '金']","['木', '水']",壬运壬年，赴会试，死于都中，盖水激丙火，则火灭也,
385,戊寅乙卯甲辰辛未,庚申,av,金,金,,ji,火,"['木', '火']","['土', '金']",至庚申辛酉，辛金得地，而成之异路，加捐仕至州牧,"寅(木强)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
385,戊寅乙卯甲辰辛未,辛酉,av,金,金,,ji,火,"['木', '火']","['土', '金']",至庚申辛酉，辛金得地，而成之异路，加捐仕至州牧,"卯(木强)旺冲酉(金平)衰: 酉衰者拔, 卯旺神发"
435,戊申壬戌庚申乙酉,癸亥,fav,水,水,,xiong,水,"['木', '水', '金']",['火'],初交癸亥，财喜如心，一交丙寅，触其旺神，一败如灰，衣食难度，自缢而死,
516,辛卯丙申癸卯壬戌,壬辰,av,水,土,,ji,火,"['木', '火']","['土', '水', '金']",壬辰药病相济，由部属出为郡守,戌辰同阶(旺/旺): 两停不拔不发
620,戊寅丁巳丙寅甲午,庚申,fav,金,金,,xiong,土,"['土', '木', '火', '金']",['水'],一交庚运，即弃诗书，受嬉好游，挥金如土 申运家破身亡,"寅(木旺)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
623,辛巳丁酉丁酉辛丑,壬辰,av_l,水,土,,ji,火,"['木', '火']","['水', '金']",壬辰运中，发财十余万,
632,戊戌丙辰己巳己巳,庚申,fav,金,金,,xiong,水,"['水', '金']",[],一交庚申，青蚨化蝶，家业渐消,
632,戊戌丙辰己巳己巳,壬戌,fav_l,水,土,,xiong,水,"['水', '金']",[],壬运克丙不禄,戌辰同阶(强/强): 两停不拔不发
647,己卯庚午辛卯甲午,己巳,fav_l,土,火,,xiong,土,"['土', '水', '金']",['木'],初运己巳戊辰，晦火生金，求名多滞，作事少成,
647,己卯庚午辛卯甲午,戊辰,fav,土,土,,xiong,土,"['土', '水', '金']",['木'],初运己巳戊辰，晦火生金，求名多滞，作事少成,
695,庚寅壬午戊午丁巳,丁亥,fav_l,火,水,,xiong,金,"['木', '水', '金']",[],至丁亥运，干支皆合化木，茕茕只影，孤苦不堪，削发为僧,"巳(火强)旺冲亥(水平)衰: 亥衰者拔, 巳旺神发"
752,庚申庚辰甲戌丙寅,丙戌,av_l,火,土,,ji,水,"['木', '水']","['土', '金']",直至丙戌运，选知县,辰戌同阶(强/强): 两停不拔不发
852,壬申辛亥辛酉庚寅,丁巳,fav,火,火,,xiong,火,"['水', '火']",[],至巳运，四孟冲，劫又逢生，不禄,"亥(水强)旺冲巳(火平)衰: 巳衰者拔, 亥旺神发"
862,癸亥甲寅癸亥甲寅,庚戌,av,金,土,,ji,木,"['木', '水', '火']","['土', '金']",辛运入泮，亥运补廪，庚戌加捐出仕,
862,癸亥甲寅癸亥甲寅,己酉,av,土,金,,ji,木,"['木', '水', '火']","['土', '金']",己酉戊申二十年土金，生化不悖，仕至别驾，宦资丰厚,
862,癸亥甲寅癸亥甲寅,戊申,av,土,金,,ji,木,"['木', '水', '火']","['土', '金']",己酉戊申二十年土金，生化不悖，仕至别驾，宦资丰厚,"寅(木强)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
886,壬戌己酉戊戌乙卯,壬子,av,水,水,,ji,金,"['火', '金']",['水'],壬子，早遂仕路之志,
889,庚午己卯壬申己酉,甲申,av_l,木,金,,ji,土,"['土', '火']","['水', '金']",甲申乙酉金得地，木临绝，虽退归，而安享琴书，其乐自如也,
889,庚午己卯壬申己酉,乙酉,av_l,木,金,,ji,土,"['土', '火']","['水', '金']",甲申乙酉金得地，木临绝，虽退归，而安享琴书，其乐自如也,卯酉同阶(强/强): 两停不拔不发
905,壬辰壬子壬子癸卯,丙辰,fav,火,土,,xiong,火,"['土', '火']",[],交丙运庚午年，水火交战而亡,
933,癸未甲子丙寅丁酉,己未,fav,土,土,,xiong,火,"['土', '水', '火']",[],一交己未，伤妻克子，遭回禄，家业大破,
965,庚申戊寅壬子甲辰,甲申,fav_l,木,金,,xiong,木,"['木', '水']","['土', '火']",申运冲寅，假神得助，不禄,"寅(木强)旺冲申(金旺)衰: 申衰者拔, 寅旺神发"
1000,戊辰辛酉乙亥甲申,甲寅,fav,木,木,,xiong,水,"['木', '水', '火']",['土'],丑运丁艰，甲寅克土扶身，不次升迁,"申(金强)旺冲寅(木平)衰: 寅衰者拔, 申旺神发"
1013,癸酉甲子庚辰甲申,戊午,fav_l,土,火,,xiong,火,"['木', '火']",[],戊午触水之性，家业破尽而亡,"子(水强)旺冲午(火平)衰: 午衰者拔, 子旺神发"
1016,壬子辛亥乙亥丙子,丙辰,fav,火,土,,xiong,火,"['土', '火']",[],一交丙运，水火交战，刑妻克子，破耗异常 辰运蓄水无咎,
1016,壬子辛亥乙亥丙子,丁巳,fav,火,火,,xiong,火,"['土', '火']",[],丁巳运连遭回禄两次，家破身亡,"亥(水强)旺冲巳(火平)衰: 巳衰者拔, 亥旺神发"
1045,丙辰辛丑庚辰丙子,丙午,fav,火,火,,xiong,火,"['木', '火']","['土', '金']",至丙午丁未二十年，妻子皆伤，家业破尽,子午同阶(平/平): 两停不拔不发
1077,戊辰乙丑戊戌辛酉,辛未,fav,金,土,,xiong,金,"['土', '金']","['木', '水']",至未运破金，不禄,丑未同阶(强/强): 两停不拔不发
1080,戊午壬戌丁卯癸卯,丙寅,av,火,木,化神火,ji,土,"['土', '金']","['木', '水', '火']",丙寅丁卯，生助火土，经营发财巨万,
1080,戊午壬戌丁卯癸卯,丁卯,av,火,木,,ji,土,"['土', '金']","['木', '水', '火']",丙寅丁卯，生助火土，经营发财巨万,
1265,甲午丙寅辛酉己丑,庚午,fav_l,金,火,,xiong,火,"['土', '水', '火']",['木'],春金虽弱，喜其时印通根得用，庚运帮身 午运杀旺，病晦刑丧,
1287,辛丑丙申癸巳庚申,癸巳,fav_l,水,火,,xiong,火,"['木', '火']",['金'],一交癸巳，皆从申合，一败如灰，竟为乞丐,
1322,乙亥戊寅丙子甲午,丁丑,av,火,土,化神水,ji,土,"['土', '金']","['木', '水', '火']",初交丁丑，生助用神，祖业十余万，其乐自如,
1436,丁酉癸卯丙辰丙申,丙午,av,火,火,,ji,水,"['水', '金']","['木', '火']",幸辰中蓄藏余气，一点微苗，尚存春令，犹能备用，较之前造更弱，亦以印星为夫，为人端庄幽娴，知书达理，丙午运，破其酉金，夫主癸科，生二子，诰封四,
1436,丁酉癸卯丙辰丙申,戊申,fav_l,土,金,,xiong,水,"['水', '金']","['木', '火']",至四旬外，运走戊申，泄火生金不禄,
1473,辛丑癸巳丙子丁酉,壬辰,fav_l,水,土,,xiong,水,"['水', '金']",[],且初交壬运逢杀，辛亥年天干逢壬癸克丙丁，地支亥冲巳破禄，运根拔尽，得疳疾而亡,
1520,甲申丙子癸亥癸亥,庚辰,fav,金,土,化神水,xiong,木,"['木', '水', '火']",['土'],庚辰辛巳虽有制化之情，却无生扶之意，以致蹭蹬仕途，未能显秩也,
1520,甲申丙子癸亥癸亥,辛巳,fav_l,金,火,,xiong,木,"['木', '水', '火']",['土'],庚辰辛巳虽有制化之情，却无生扶之意，以致蹭蹬仕途，未能显秩也,"亥(水强)旺冲巳(火衰)衰: 巳衰者拔, 亥旺神发"
1553,庚寅戊子甲寅丙寅,辛卯,av_l,金,木,,ji,火,"['土', '火']","['木', '水']",至卯运泄水生火，早登科甲,
1606,癸卯乙卯甲寅乙亥,辛亥,av_l,金,水,,ji,火,"['土', '木', '火']",['金'],壬子印星照临，辛亥金不通根，支逢生旺，仕至黄堂,
1618,癸酉乙丑丙申丙申,辛酉,av,金,金,,ji,木,"['木', '水', '火']",['金'],辛酉庚申，去印生官，由县令而迁州牧，宦囊丰厚,
1618,癸酉乙丑丙申丙申,庚申,av,金,金,,ji,木,"['木', '水', '火']",['金'],辛酉庚申，去印生官，由县令而迁州牧，宦囊丰厚,
1628,乙丑甲申甲辰己巳,庚辰,av,金,土,,ji,水,"['木', '水', '火']","['土', '金']",辛巳金火土并旺，癸黄甲，宴琼林，入翰苑，仕黄堂，庚辰合乙制化比劫，仕至藩臬,
1640,丙戌戊戌癸巳壬戌,癸卯,av_l,水,木,,ji,土,"['土', '火']","['水', '金']",嫌其时透壬水克丙，只中乡榜，直至卯运，壬水绝地，挑知县，历三任而不升，亦壬水夺财之故也,
1656,乙卯己卯戊辰癸亥,癸酉,fav_l,水,金,,xiong,木,"['木', '水']","['土', '火']",至癸酉运，落职而亡,"卯(木强)旺冲酉(金平)衰: 酉衰者拔, 卯旺神发"
1678,甲寅丁丑甲戌己巳,庚辰,av,金,土,,ji,木,"['木', '水', '火']","['土', '金']",至庚辰运，科甲连登,戌辰同阶(强/强): 两停不拔不发
1744,甲申丙寅甲申庚午,辛未,av_l,金,土,,ji,火,"['水', '火']",['土'],至巳运，丙火禄地，中乡榜，庚午运发甲，辛未运仕县宰,
1763,戊戌丙辰辛丑戊戌,辛酉,av,金,金,,ji,火,"['木', '水', '火']","['土', '金']",及辛酉，拱保辰丑，捐纳出仕,
1781,乙亥辛巳丁巳庚戌,丙子,fav_l,火,水,,xiong,水,"['木', '水', '金']",[],一交子运，两巳爱制，不禄,
1808,壬申壬寅壬申辛丑,乙巳,fav,木,火,,xiong,火,"['木', '火']",['金'],乙巳刑冲并见，刑丧破败,
